window,vault_id,min,percentile25,percentile50,percentile75,max,count,latency,throughput
1719670728000,1116,12737.000000,15264.500000,16279.500000,17233.500000,21478.000000,12,2000,432.000000
1719670728000,1117,6245.000000,18083.500000,20480.000000,22466.500000,24213.000000,32,2000,432.000000
1719670728000,1118,25243.000000,37620.000000,37624.500000,37628.000000,37637.000000,30,2000,432.000000
1719670728000,1119,16797.000000,17782.250000,18519.000000,22814.250000,24644.000000,33,2000,432.000000
1719670728000,1120,570.000000,36107.250000,36115.000000,36121.000000,36129.000000,23,2000,432.000000
1719670730000,1090,33511.000000,49559.500000,49572.000000,49579.750000,49585.000000,23,2000,393.500000
1719670730000,1091,49244.000000,49261.500000,49267.000000,49272.000000,49282.000000,28,2000,393.500000
1719670730000,1092,126.000000,48975.250000,48982.000000,48990.000000,49183.000000,25,2000,393.500000
1719670730000,1093,4606.000000,42757.500000,48618.000000,48623.500000,48635.000000,24,2000,393.500000
1719670730000,1094,15572.000000,16646.000000,17683.000000,21639.000000,24515.000000,26,2000,393.500000
1719670730000,1095,16231.000000,17248.000000,19191.000000,22346.000000,29459.000000,28,2000,393.500000
1719670730000,1096,19786.000000,47169.000000,47175.000000,47181.750000,54011.000000,35,2000,393.500000
1719670730000,1097,17350.000000,19242.250000,21886.000000,23156.500000,26256.000000,25,2000,393.500000
1719670730000,1098,14972.000000,18597.250000,21305.000000,24118.250000,25560.000000,23,2000,393.500000
1719670730000,1099,14238.000000,17344.000000,22481.000000,23716.500000,28181.000000,25,2000,393.500000
1719670730000,1100,14642.000000,18792.000000,20515.000000,23135.000000,25200.000000,26,2000,393.500000
1719670730000,1101,14478.000000,15951.000000,20307.000000,21874.000000,25204.000000,30,2000,393.500000
1719670730000,1102,5357.000000,18599.500000,19657.000000,22659.000000,25188.000000,21,2000,393.500000
1719670730000,1103,13419.000000,15045.750000,17972.000000,21318.750000,45626.000000,23,2000,393.500000
1719670730000,1104,13435.000000,14553.250000,15479.000000,18343.250000,24510.000000,31,2000,393.500000
1719670730000,1105,7931.000000,17238.500000,19368.000000,22013.000000,26131.000000,24,2000,393.500000
1719670730000,1106,15705.000000,16956.500000,18301.000000,19968.500000,24378.000000,25,2000,393.500000
